"","gene","TAD"
"CSN1S2AP","CSN1S2AP","TAD_2493"
"CSN1S2BP","CSN1S2BP","TAD_2493"
"CSN2","CSN2","TAD_2493"
"CSN3","CSN3","TAD_2493"
"CSNK1A1P1","CSNK1A1P1","TAD_1103"
"CSNK1E;LOC400927","CSNK1E;LOC400927","TAD_2194"
"CSNK1G2","CSNK1G2","TAD_1582"
"CSNK1G2-AS1","CSNK1G2-AS1","TAD_1582"
"CSNK1G3","CSNK1G3","TAD_2719"
"CSNK2A1","CSNK2A1","TAD_533"
"CSNK2A2","CSNK2A2","TAD_1291"
"CSNK2B","CSNK2B","TAD_2831"
"CSPG4P1Y","CSPG4P1Y","TAD_3689"
"CSPG5","CSPG5","TAD_2270"
"CSPP1","CSPP1","TAD_3269"
"CSRNP1","CSRNP1","TAD_2260"
"CSRNP2","CSRNP2","TAD_766"
"CSRNP3","CSRNP3","TAD_1909"
"CSRP2","CSRP2","TAD_798"
"CSRP2BP","CSRP2BP","TAD_2013"
"CSRP3","CSRP3","TAD_542"
"CST11","CST11","TAD_2021"
"CST3","CST3","TAD_2021"
"CST8","CST8","TAD_2021"
"CST9","CST9","TAD_2021"
"CST9L","CST9L","TAD_2021"
"CSTF2T","CSTF2T","TAD_413"
"CSTF3","CSTF3","TAD_552"
"CSTT","CSTT","TAD_2021"
"CT45A2","CT45A2","TAD_3652"
"CT45A3","CT45A3","TAD_3652"
"CT45A4","CT45A4","TAD_3652"
"CT45A5","CT45A5","TAD_3653"
"CT45A6","CT45A6","TAD_3653"
"CT47A1","CT47A1","TAD_3639"
"CT47A11","CT47A11","TAD_3639"
"CT47A6","CT47A6","TAD_3639"
"CT47A7","CT47A7","TAD_3639"
"CT62","CT62","TAD_1152"
"CTAGE1","CTAGE1","TAD_1525"
"CTAGE10P","CTAGE10P","TAD_911"
"CTAGE15P","CTAGE15P","TAD_3169"
"CTAGE4","CTAGE4","TAD_3172"
"CTAGE5","CTAGE5","TAD_990"
"CTAGE6P","CTAGE6P","TAD_3170"
"CTAGE7P","CTAGE7P","TAD_503"
"CTAGE9","CTAGE9","TAD_2941"
"CTBP1","CTBP1","TAD_2433"
"CTBS","CTBS","TAD_141"
"CTC1","CTC1","TAD_1361"
"CTCF","CTCF","TAD_1297"
"CTCFL","CTCFL","TAD_2083"
"CTDP1","CTDP1","TAD_1574"
"CTDSP1","CTDSP1","TAD_1962"
"CTDSP2","CTDSP2","TAD_782"
"CTDSPL","CTDSPL","TAD_2257"
"CTDSPL2","CTDSPL2","TAD_1115"
"CTF1","CTF1","TAD_1264"
"CTGF","CTGF","TAD_2942"
"CTH","CTH","TAD_130"
"CTHRC1","CTHRC1","TAD_3301"
"CTIF","CTIF","TAD_1542"
"CTLA4","CTLA4","TAD_1947"
"CTNNA1","CTNNA1","TAD_2735"
"CTNNA2","CTNNA2","TAD_1794"
"CTNNA3","CTNNA3","TAD_422"
"CTNNB1","CTNNB1","TAD_2262"
"CTNNBIP1","CTNNBIP1","TAD_22"
"CTNNBL1","CTNNBL1","TAD_2048"
"CTNND2","CTNND2","TAD_2611"
"CTPS2","CTPS2","TAD_3506"
"CTRB1","CTRB1","TAD_1314"
"CTRC","CTRC","TAD_31"
"CTRL;PSMB10","CTRL;PSMB10","TAD_1297"
"CTSA","CTSA","TAD_2060"
"CTSB","CTSB","TAD_3208"
"CTSC","CTSC","TAD_636"
"CTSD","CTSD","TAD_516"
"CTSF","CTSF","TAD_605"
"CTSG","CTSG","TAD_975"
"CTSH","CTSH","TAD_1166"
"CTSK","CTSK","TAD_210"
"CTSL1","CTSL1","TAD_3402"
"CTSL1P2","CTSL1P2","TAD_400"
"CTSL1P8","CTSL1P8","TAD_3402"
"CTSL2","CTSL2","TAD_3422"
"CTSL3","CTSL3","TAD_3402"
"CTSO","CTSO","TAD_2570"
"CTSS","CTSS","TAD_210"
"CTSW","CTSW","TAD_603"
"CTSZ;AK310046","CTSZ;AK310046","TAD_2085"
"CTTNBP2","CTTNBP2","TAD_3143"
"CTTNBP2NL;AX747733","CTTNBP2NL;AX747733","TAD_175"
"CTU2","CTU2","TAD_1335"
"CTXN2","CTXN2","TAD_1118"
"CTXN3","CTXN3","TAD_2723"
"CUEDC1","CUEDC1","TAD_1451"
"CUEDC2","CUEDC2","TAD_473"
"CUL1","CUL1","TAD_3174"
"CUL3","CUL3","TAD_1967"
"CUL4A","CUL4A","TAD_954"
"CUL4B","CUL4B","TAD_3638"
"CUL5","CUL5","TAD_653"
"CUL7","CUL7","TAD_2855"
"CUTA","CUTA","TAD_2837"
"CUX1","CUX1","TAD_3124"
"CUX2","CUX2","TAD_833"
"CUZD1","CUZD1","TAD_492"
"CWC15","CWC15","TAD_644"
"CWC22","CWC22","TAD_1925"
"CWC25","CWC25","TAD_1415"
"CWC27","CWC27","TAD_2667"
"CWF19L2","CWF19L2","TAD_653"
"CX3CL1","CX3CL1","TAD_1290"
"CX3CR1","CX3CR1","TAD_2260"
"CXADR","CXADR","TAD_2113"
"CXADRP2","CXADRP2","TAD_1074"
"CXADRP3","CXADRP3","TAD_1518"
"CXCL1","CXCL1","TAD_2498"
"CXCL10","CXCL10","TAD_2502"
"CXCL11","CXCL11","TAD_2502"
"CXCL12;DKFZp547J0510","CXCL12;DKFZp547J0510","TAD_393"
"CXCL13","CXCL13","TAD_2504"
"CXCL14","CXCL14","TAD_2731"
"CXCL16","CXCL16","TAD_1352"
"CXCL2","CXCL2","TAD_2498"
"CXCL3","CXCL3","TAD_2498"
"CXCL5","CXCL5","TAD_2498"
"CXCL6","CXCL6","TAD_2498"
"CXCL9","CXCL9","TAD_2502"
"CXCR3","CXCR3","TAD_3565"
"CXCR4","CXCR4","TAD_1883"
"CXCR5","CXCR5","TAD_669"
"CXCR6","CXCR6","TAD_2268"
"CXCR7;AK023507","CXCR7;AK023507","TAD_1982"
"CXXC1","CXXC1","TAD_1545"
"CXXC1P1","CXXC1P1","TAD_3533"
"CXXC4","CXXC4","TAD_2531"
"CXXC5","CXXC5","TAD_2736"
"CXorf1","CXorf1","TAD_3663"
"CXorf21","CXorf21","TAD_3523"
"CXorf22","CXorf22","TAD_3523"
"CXorf23;BC046187","CXorf23;BC046187","TAD_3512"
"CXorf26","CXorf26","TAD_3573"
"CXorf27","CXorf27","TAD_3525"
"CXorf28","CXorf28","TAD_3490"
"CXorf30","CXorf30","TAD_3523"
"CXorf36","CXorf36","TAD_3530"
"CXorf38","CXorf38","TAD_3527"
"CXorf41","CXorf41","TAD_3625"
"CXorf49","CXorf49","TAD_3566"
"CXorf51B","CXorf51B","TAD_3663"
"CXorf56","CXorf56","TAD_3635"
"CXorf57","CXorf57","TAD_3624"
"CXorf58","CXorf58","TAD_3517"
"CXorf59","CXorf59","TAD_3523"
"CXorf61","CXorf61","TAD_3630"
"CXorf64","CXorf64","TAD_3643"
"CXorf65","CXorf65","TAD_3564"
"CXorf68","CXorf68","TAD_3679"
"CXorf69","CXorf69","TAD_3650"
"CYB561","CYB561","TAD_1463"
"CYB561D1","CYB561D1","TAD_169"
"CYB5A","CYB5A","TAD_1568"
"CYB5B","CYB5B","TAD_1302"
"CYB5D1;AK125598","CYB5D1;AK125598","TAD_1360"
"CYB5R1","CYB5R1","TAD_275"
"CYB5R2","CYB5R2","TAD_526"
"CYB5R4","CYB5R4","TAD_2895"
"CYB5RL","CYB5RL","TAD_112"
"CYBASC3","CYBASC3","TAD_588"
"CYBB","CYBB","TAD_3525"
"CYBRD1","CYBRD1","TAD_1916"
"CYC1","CYC1","TAD_3329"
"CYFIP1","CYFIP1","TAD_1078"
"CYFIP2","CYFIP2","TAD_2756"
"CYGB","CYGB","TAD_1484"
"CYHR1","CYHR1","TAD_3331"
"CYLC1","CYLC1","TAD_3578"
"CYLC2","CYLC2","TAD_3433"
"CYLD","CYLD","TAD_1285"
"CYMP","CYMP","TAD_171"
"CYP11B1","CYP11B1","TAD_3328"
"CYP11B2","CYP11B2","TAD_3328"
"CYP17A1","CYP17A1","TAD_474"
"CYP19A1;aromatase cytochrome P-450 (P-450AROM)","CYP19A1;aromatase cytochrome P-450 (P-450AROM)","TAD_1123"
"CYP1A1","CYP1A1","TAD_1158"
"CYP1A2","CYP1A2","TAD_1158"
"CYP1B1","CYP1B1","TAD_1743"
"CYP1B1-AS1","CYP1B1-AS1","TAD_1743"
"CYP20A1","CYP20A1","TAD_1947"
"CYP21A1P","CYP21A1P","TAD_2832"
"CYP21A2","CYP21A2","TAD_2832"
"CYP24A1","CYP24A1","TAD_2079"
"CYP26A1","CYP26A1","TAD_455"
"CYP26B1","CYP26B1","TAD_1787"
"CYP26C1","CYP26C1","TAD_455"
"CYP27A1","CYP27A1","TAD_1962"
"CYP27C1","CYP27C1","TAD_1870"
"CYP2A13","CYP2A13","TAD_1658"
"CYP2B6","CYP2B6","TAD_1658"
"CYP2C18","CYP2C18","TAD_458"
"CYP2C19","CYP2C19","TAD_458"
"CYP2C8","CYP2C8","TAD_458"
"CYP2C9","CYP2C9","TAD_458"
"CYP2E1","CYP2E1","TAD_509"
"CYP2J2","CYP2J2","TAD_118"
"CYP2R1","CYP2R1","TAD_538"
"CYP2S1","CYP2S1","TAD_1659"
"CYP2U1","CYP2U1","TAD_2533"
"CYP2W1","CYP2W1","TAD_2990"
"CYP39A1","CYP39A1","TAD_2860"
"CYP3A4","CYP3A4","TAD_3119"
"CYP3A43","CYP3A43","TAD_3119"
"CYP3A5","CYP3A5","TAD_3119"
"CYP3A7","CYP3A7","TAD_3119"
"CYP46A1","CYP46A1","TAD_1055"
"CYP4A11","CYP4A11","TAD_99"
"CYP4B1","CYP4B1","TAD_99"
"CYP4F11","CYP4F11","TAD_1619"
"CYP4F12","CYP4F12","TAD_1619"
"CYP4F2","CYP4F2","TAD_1619"
"CYP4F22","CYP4F22","TAD_1618"
"CYP4F24P","CYP4F24P","TAD_1619"
"CYP4F3","CYP4F3","TAD_1619"
"CYP4F30P","CYP4F30P","TAD_1875"
"CYP4F8","CYP4F8","TAD_1619"
"CYP4X1","CYP4X1","TAD_99"
"CYP4Z2P","CYP4Z2P","TAD_99"
"CYP51A1","CYP51A1","TAD_3108"
"CYP7A1","CYP7A1","TAD_3262"
"CYP7B1","CYP7B1","TAD_3267"
"CYP8B1","CYP8B1","TAD_2265"
"CYSLTR2","CYSLTR2","TAD_910"
"CYTH1","CYTH1","TAD_1488"
"CYTH2","CYTH2","TAD_1680"
"CYTH3","CYTH3","TAD_3001"
"CYTH4","CYTH4","TAD_2191"
"CYTIP","CYTIP","TAD_1902"
"CYTL1","CYTL1","TAD_2440"
"CYYR1","CYYR1","TAD_2115"
"CYorf16","CYorf16","TAD_3684"
"CoTC_ribozyme","CoTC_ribozyme","TAD_523"
"D21S2088E","D21S2088E","TAD_2114"
"D28359","D28359","TAD_913"
"D2HGDH","D2HGDH","TAD_1987"
"D43770","D43770","TAD_1477"
"D4S234E","D4S234E","TAD_2439"
"D56495","D56495","TAD_1794"
"D63785","D63785","TAD_1410"
"DAAM1","DAAM1","TAD_1007"
"DAAM2","DAAM2","TAD_2848"
"DAB1","DAB1","TAD_115"
"DAB2","DAB2","TAD_2638"
"DAB2IP","DAB2IP","TAD_3452"
"DACH1","DACH1","TAD_923"
"DACT1","DACT1","TAD_1007"
"DACT2","DACT2","TAD_2982"
"DACT3","DACT3","TAD_1673"
"DAD1","DAD1","TAD_970"
"DAGLA","DAGLA","TAD_589"
"DAK","DAK","TAD_588"
"DAO","DAO","TAD_829"
"DAOA","DAOA","TAD_945"
"DAOA-AS1","DAOA-AS1","TAD_945"
"DAP","DAP","TAD_2611"
"DAPK1","DAPK1","TAD_3402"
"DAPK2","DAPK2","TAD_1138"
"DAPK3;MIR637","DAPK3;MIR637","TAD_1588"
"DAPP1","DAPP1","TAD_2526"
"DARC","DARC","TAD_227"
"DARS2","DARS2","TAD_245"
"DAZ1","DAZ1","TAD_3689"
"DAZ2","DAZ2","TAD_3689"
"DAZ3","DAZ3","TAD_3689"
"DAZ4","DAZ4","TAD_3689"
"DAZAP1","DAZAP1","TAD_1580"
"DAZAP2","DAZAP2","TAD_766"
"DBC1","DBC1","TAD_3450"
"DBF4","DBF4","TAD_3103"
"DBH","DBH","TAD_3479"
"DBIL5P2","DBIL5P2","TAD_1774"
"DBN1","DBN1","TAD_2777"
"DBNDD2","DBNDD2","TAD_2059"
"DBR1","DBR1","TAD_2363"
"DBT","DBT","TAD_157"
"DBX1","DBX1","TAD_543"
"DBX2","DBX2","TAD_751"
"DCAF10","DCAF10","TAD_3365"
"DCAF11","DCAF11","TAD_974"
"DCAF12","DCAF12","TAD_3359"
"DCAF12L1","DCAF12L1","TAD_3643"
"DCAF12L2","DCAF12L2","TAD_3643"
"DCAF13","DCAF13","TAD_3301"
"DCAF15","DCAF15","TAD_1615"
"DCAF4L2","DCAF4L2","TAD_3283"
"DCAF5","DCAF5","TAD_1019"
"DCAF6","DCAF6","TAD_240"
"DCAF7;BC024682","DCAF7;BC024682","TAD_1463"
"DCAF8","DCAF8","TAD_229"
"DCAF8L1","DCAF8L1","TAD_3520"
"DCAF8L2","DCAF8L2","TAD_3520"
"DCAKD","DCAKD","TAD_1431"
"DCBLD1","DCBLD1","TAD_2927"
"DCBLD2","DCBLD2","TAD_2316"
"DCC","DCC","TAD_1548"
"DCD","DCD","TAD_775"
"DCDC1","DCDC1","TAD_551"
"DCDC2","DCDC2","TAD_2816"
"DCDC2B","DCDC2B","TAD_73"
"DCDC5","DCDC5","TAD_551"
"DCHS2","DCHS2","TAD_2569"
"DCK","DCK","TAD_2494"
"DCLK1","DCLK1","TAD_891"
"DCLK2","DCLK2","TAD_2564"
"DCLK3","DCLK3","TAD_2254"
"DCLRE1A","DCLRE1A","TAD_484"
"DCLRE1B","DCLRE1B","TAD_178"
"DCLRE1C","DCLRE1C","TAD_358"
"DCN","DCN","TAD_809"
"DCP1B","DCP1B","TAD_700"
"DCST1","DCST1","TAD_218"
"DCST2","DCST2","TAD_218"
"DCT","DCT","TAD_934"
"DCTD","DCTD","TAD_2588"
"DCTN4","DCTN4","TAD_2749"
"DCUN1D1","DCUN1D1","TAD_2403"
"DCUN1D2","DCUN1D2","TAD_955"
"DCUN1D3","DCUN1D3","TAD_1240"
"DCX","DCX","TAD_3629"
"DCXR","DCXR","TAD_1499"
"DD157417","DD157417","TAD_732"
"DD181999","DD181999","TAD_1443"
"DD182001","DD182001","TAD_2942"
"DD413549","DD413549","TAD_3530"
"DD413568","DD413568","TAD_3119"
"DD413584","DD413584","TAD_3049"
"DD413615","DD413615","TAD_2322"
"DD413619","DD413619","TAD_534"
"DD413621","DD413621","TAD_1931"
"DD413629","DD413629","TAD_651"
"DD413671","DD413671","TAD_1407"
"DD413674","DD413674","TAD_1838"
"DD413687","DD413687","TAD_1964"
"DD413694","DD413694","TAD_2392"
"DD413707","DD413707","TAD_444"
"DD431424","DD431424","TAD_351"
"DDAH1","DDAH1","TAD_142"
"DDAH2","DDAH2","TAD_2831"
"DDB1","DDB1","TAD_588"
"DDB2","DDB2","TAD_569"
"DDC","DDC","TAD_3045"
"DDHD1","DDHD1","TAD_1000"
"DDHD2","DDHD2","TAD_3243"
"DDI1","DDI1","TAD_652"
"DDI2;RSC1A1","DDI2;RSC1A1","TAD_32"
"DDIT4","DDIT4","TAD_429"
"DDIT4L","DDIT4L","TAD_2527"
"DDN","DDN","TAD_759"
"DDO","DDO","TAD_2919"
"DDOST","DDOST","TAD_45"
"DDR1","DDR1","TAD_2828"
"DDR2","DDR2","TAD_234"
"DDRGK1","DDRGK1","TAD_1997"
"DDX11L family member","DDX11L family member","TAD_3682"
"DDX11L1","DDX11L1","TAD_1"
"DDX11L10","DDX11L10","TAD_1195"
"DDX11L2","DDX11L2","TAD_1860"
"DDX11L5","DDX11L5","TAD_3334"
"DDX11L9","DDX11L9","TAD_1"
"DDX12P","DDX12P","TAD_716"
"DDX17","DDX17","TAD_2195"
"DDX23","DDX23","TAD_759"
"DDX24","DDX24","TAD_1049"
"DDX26B","DDX26B","TAD_3651"
"DDX28","DDX28","TAD_1297"
"DDX31","DDX31","TAD_3477"
"DDX39A","DDX39A","TAD_1616"
"DDX3X","DDX3X","TAD_3528"
"DDX3Y","DDX3Y","TAD_3688"
"DDX4","DDX4","TAD_2658"
"DDX43","DDX43","TAD_2888"
"DDX46","DDX46","TAD_2729"
"DDX49","DDX49","TAD_1627"
"DDX50","DDX50","TAD_424"
"DDX52","DDX52","TAD_1413"
"DDX53","DDX53","TAD_3516"
"DDX54","DDX54","TAD_837"
"DDX58","DDX58","TAD_3355"
"DDX59","DDX59","TAD_270"
"DDX6","DDX6","TAD_669"
"DDX60","DDX60","TAD_2579"
"DDX60L","DDX60L","TAD_2579"
"DEAF1","DEAF1","TAD_513"
"DEC1","DEC1","TAD_3448"
"DECR2","DECR2","TAD_1197"
"DEDD","DEDD","TAD_231"
"DEDD2","DEDD2","TAD_1662"
"DEFA4","DEFA4","TAD_3199"
"DEFA6","DEFA6","TAD_3199"
"DEFB1","DEFB1","TAD_3199"
"DEFB103A","DEFB103A","TAD_3202"
"DEFB103B","DEFB103B","TAD_3202"
"DEFB104A","DEFB104A","TAD_3202"
"DEFB105A","DEFB105A","TAD_3202"
"DEFB106A","DEFB106A","TAD_3202"
"DEFB107B","DEFB107B","TAD_3202"
"DEFB109P1","DEFB109P1","TAD_3211"
"DEFB109P1B","DEFB109P1B","TAD_3201"
"DEFB110","DEFB110","TAD_2863"
"DEFB112","DEFB112","TAD_2863"
"DEFB113","DEFB113","TAD_2863"
"DEFB114","DEFB114","TAD_2863"
"DEFB118","DEFB118","TAD_2031"
"DEFB119","DEFB119","TAD_2031"
"DEFB121","DEFB121","TAD_2031"
"DEFB122","DEFB122","TAD_2031"
"DEFB123","DEFB123","TAD_2031"
"DEFB126","DEFB126","TAD_1991"
"DEFB127","DEFB127","TAD_1991"
"DEFB128","DEFB128","TAD_1991"
"DEFB129","DEFB129","TAD_1991"
"DEFB133","DEFB133","TAD_2863"
"DEFB4A","DEFB4A","TAD_3202"
"DEFB4B","DEFB4B","TAD_3202"
"DEGS1","DEGS1","TAD_310"
"DEGS2","DEGS2","TAD_1056"
"DEM1","DEM1","TAD_87"
"DENND1A","DENND1A","TAD_3456"
"DENND1B","DENND1B","TAD_267"
"DENND1C","DENND1C","TAD_1595"
"DENND2A","DENND2A","TAD_3163"
"DENND2C","DENND2C","TAD_180"
"DENND2D","DENND2D","TAD_172"
"DENND3","DENND3","TAD_3327"
"DENND4A","DENND4A","TAD_1141"
"DENND4B","DENND4B","TAD_216"
"DENND4C","DENND4C","TAD_3347"
"DENND5A","DENND5A","TAD_530"
"DENND5B","DENND5B","TAD_739"
"DENR","DENR","TAD_851"
"DEPDC4","DEPDC4","TAD_819"
"DEPDC5","DEPDC5","TAD_2183"
"DEPDC7","DEPDC7","TAD_552"
"DEPTOR","DEPTOR","TAD_3308"
"DERL1","DERL1","TAD_3310"
"DERL3","DERL3","TAD_2166"
"DES","DES","TAD_1963"
"DET1","DET1","TAD_1178"
"DFNA5","DFNA5","TAD_3013"
"DGAT2","DGAT2","TAD_625"
"DGAT2L6","DGAT2L6","TAD_3562"
"DGCR11","DGCR11","TAD_2153"
"DGCR14","DGCR14","TAD_2153"
"DGCR8;MIR3618","DGCR8;MIR3618","TAD_2155"
"DGKA","DGKA","TAD_776"
"DGKB","DGKB","TAD_3006"
"DGKD","DGKD","TAD_1977"
"DGKE","DGKE","TAD_1449"
"DGKG","DGKG","TAD_2411"
"DGKH","DGKH","TAD_900"
"DGKI","DGKI","TAD_3159"
"DGKK","DGKK","TAD_3538"
"DGKQ","DGKQ","TAD_2432"
"DGKZ","DGKZ","TAD_566"
"DGUOK","DGUOK","TAD_1789"
"DHCR24","DHCR24","TAD_112"
"DHCR7","DHCR7","TAD_616"
"DHDH","DHDH","TAD_1681"
"DHFR","DHFR","TAD_2684"
"DHFRL1","DHFRL1","TAD_2314"
"DHH","DHH","TAD_760"
"DHRS1","DHRS1","TAD_974"
"DHRS12","DHRS12","TAD_913"
"DHRS13","DHRS13","TAD_1395"
"DHRS3","DHRS3","TAD_28"
"DHRS7","DHRS7","TAD_1008"
"DHRS7B","DHRS7B","TAD_1388"
"DHRS7C","DHRS7C","TAD_1364"
"DHRS9","DHRS9","TAD_1912"
"DHRSX","DHRSX","TAD_3489"
"DHTKD1","DHTKD1","TAD_353"
"DHX15","DHX15","TAD_2462"
"DHX16","DHX16","TAD_2827"
"DHX29","DHX29","TAD_2658"
"DHX32","DHX32","TAD_498"
"DHX34","DHX34","TAD_1676"
"DHX58","DHX58","TAD_1423"
"DIABLO","DIABLO","TAD_850"
"DIAPH1","DIAPH1","TAD_2738"
"DIAPH2","DIAPH2","TAD_3612"
"DIAPH3","DIAPH3","TAD_918"
"DICER1","DICER1","TAD_1050"
"DIMT1","DIMT1","TAD_2665"
"DIO1","DIO1","TAD_111"
"DIO2","DIO2","TAD_1036"
"DIO3","DIO3","TAD_1057"
"DIO3AS;DIO3OS;MIR1247","DIO3AS;DIO3OS;MIR1247","TAD_1057"
"DIP2A","DIP2A","TAD_2144"
"DIP2B","DIP2B","TAD_765"
"DIP2C","DIP2C","TAD_343"
"DIRAS1","DIRAS1","TAD_1584"
"DIRAS2","DIRAS2","TAD_3409"
"DIRAS3","DIRAS3","TAD_127"
"DIRC1","DIRC1","TAD_1934"
"DIRC2","DIRC2","TAD_2342"
"DIRC3","DIRC3","TAD_1960"
"DIS3L2","DIS3L2","TAD_1974"
"DISC2","DISC2","TAD_322"
"DISP1","DISP1","TAD_305"
"DISP2","DISP2","TAD_1106"
"DIXDC1","DIXDC1","TAD_657"
"DJ031130","DJ031130","TAD_1015"
"DJ031132","DJ031132","TAD_2736"
"DJ031140","DJ031140","TAD_949"
"DJ031150","DJ031150","TAD_683"
"DJ417906","DJ417906","TAD_2049"
"DJ417913","DJ417913","TAD_2049"
"DJ439519","DJ439519","TAD_1132"
"DJ439526","DJ439526","TAD_2568"
"DJ439529","DJ439529","TAD_1132"
"DJ439531","DJ439531","TAD_1132"
"DJ439558","DJ439558","TAD_422"
"DJ439561","DJ439561","TAD_422"
"DJ439566;DJ439574","DJ439566;DJ439574","TAD_1132"
"DJ439575","DJ439575","TAD_1132"
"DJ439576","DJ439576","TAD_422"
"DJ439579","DJ439579","TAD_1132"
"DKC1","DKC1","TAD_3679"
"DKFZP434H168","DKFZP434H168","TAD_1289"
"DKFZP434I0714","DKFZP434I0714","TAD_2567"
"DKFZP434L187","DKFZP434L187","TAD_1090"
"DKFZP564C196","DKFZP564C196","TAD_259"
"DKFZP586I1420","DKFZP586I1420","TAD_3023"
"DKFZP686I15217","DKFZP686I15217","TAD_2792"
"DKFZp434A128","DKFZp434A128","TAD_2401"
"DKFZp434J0226","DKFZp434J0226","TAD_1671"
"DKFZp434J194","DKFZp434J194","TAD_1585"
"DKFZp434K1323","DKFZp434K1323","TAD_694"
"DKFZp434L187","DKFZp434L187","TAD_1093"
"DKFZp434L192","DKFZp434L192","TAD_3051"
"DKFZp451A185","DKFZp451A185","TAD_1560"
"DKFZp451B082","DKFZp451B082","TAD_2979"
"DKFZp451J181","DKFZp451J181","TAD_3227"
"DKFZp547A023","DKFZp547A023","TAD_175"
"DKFZp547E087","DKFZp547E087","TAD_1244"
"DKFZp566F0947","DKFZp566F0947","TAD_1637"
"DKFZp667J0810","DKFZp667J0810","TAD_2164"
"DKFZp686D0853","DKFZp686D0853","TAD_3629"
"DKFZp686E10196","DKFZp686E10196","TAD_1859"
"DKFZp686G1344","DKFZp686G1344","TAD_1024"
"DKFZp686G21125","DKFZp686G21125","TAD_2283"
"DKFZp686H10114","DKFZp686H10114","TAD_1904"
"DKFZp686J1569;PMS2","DKFZp686J1569;PMS2","TAD_3000"
"DKFZp686K1684","DKFZp686K1684","TAD_551"
"DKFZp686L0695","DKFZp686L0695","TAD_3349"
"DKFZp686L08115","DKFZp686L08115","TAD_1986"
"DKFZp686N1150","DKFZp686N1150","TAD_2194"
"DKFZp686N1631","DKFZp686N1631","TAD_180"
"DKFZp686O1327","DKFZp686O1327","TAD_1889"
"DKFZp761D112","DKFZp761D112","TAD_3283"
"DKFZp761E198","DKFZp761E198","TAD_603"
"DKFZp779K0112","DKFZp779K0112","TAD_1244"
"DKK1","DKK1","TAD_414"
"DKK2","DKK2","TAD_2533"
"DKK3","DKK3","TAD_533"
"DKKL1","DKKL1","TAD_1682"
"DL476309","DL476309","TAD_1359"
"DL476313","DL476313","TAD_1359"
"DL476358","DL476358","TAD_1359"
"DL476366","DL476366","TAD_1359"
"DL489896","DL489896","TAD_343"
"DL489986","DL489986","TAD_1266"
"DL490275","DL490275","TAD_821"
"DL490294","DL490294","TAD_2764"
"DL490450","DL490450","TAD_1871"
"DL490555","DL490555","TAD_427"
"DL490859","DL490859","TAD_2996"
"DL490867","DL490867","TAD_1385"
"DL490879","DL490879","TAD_2485"
"DL490887","DL490887","TAD_61"
"DL491118","DL491118","TAD_3414"
"DL491209","DL491209","TAD_2505"
"DL491750","DL491750","TAD_3332"
"DL492006","DL492006","TAD_2999"
"DL492557","DL492557","TAD_395"
"DL492607","DL492607","TAD_659"
"DLAT","DLAT","TAD_657"
"DLC1","DLC1","TAD_3213"
"DLEC1","DLEC1","TAD_2257"
"DLEU1","DLEU1","TAD_911"
"DLEU2","DLEU2","TAD_911"
"DLEU7","DLEU7","TAD_911"
"DLG1","DLG1","TAD_2426"
"DLG2","DLG2","TAD_631"
"DLG3","DLG3","TAD_3563"
"DLGAP1","DLGAP1","TAD_1506"
"DLGAP2","DLGAP2","TAD_3194"
"DLGAP3","DLGAP3","TAD_78"
"DLGAP4","DLGAP4","TAD_2044"
"DLGAP5","DLGAP5","TAD_1002"
"DLK1","DLK1","TAD_1057"
"DLK2","DLK2","TAD_2856"
"DLL1","DLL1","TAD_2985"
"DLL4","DLL4","TAD_1108"
"DLX1","DLX1","TAD_1917"
"DLX3","DLX3","TAD_1442"
"DLX4","DLX4","TAD_1442"
"DLX5","DLX5","TAD_3111"
"DLX6","DLX6","TAD_3111"
"DLX6-AS1","DLX6-AS1","TAD_3111"
"DM074112","DM074112","TAD_2192"
"DM110819","DM110819","TAD_1386"
"DM119500","DM119500","TAD_676"
"DM119504","DM119504","TAD_3546"
"DM119508","DM119508","TAD_911"
"DM119510","DM119510","TAD_3649"
"DM119512","DM119512","TAD_1456"
"DM119520","DM119520","TAD_2257"
"DM119532","DM119532","TAD_300"
"DM119538","DM119538","TAD_2886"
"DM119539","DM119539","TAD_2886"
"DM119543","DM119543","TAD_676"
"DMAP1","DMAP1","TAD_94"
"DMBT1","DMBT1","TAD_492"
"DMBX1","DMBX1","TAD_98"
"DMC1","DMC1","TAD_2195"
"DMD","DMD","TAD_3523"
"DMGDH","DMGDH","TAD_2683"
"DMKN","DMKN","TAD_1647"
"DMP1","DMP1","TAD_2516"
"DMRT1","DMRT1","TAD_3336"
"DMRT3","DMRT3","TAD_3336"
"DMRTA1","DMRTA1","TAD_3352"
"DMRTA2","DMRTA2","TAD_103"
"DMRTC1","DMRTC1","TAD_3569"
"DMRTC1B","DMRTC1B","TAD_3569"
"DMTF1","DMTF1","TAD_3102"
"DMXL1","DMXL1","TAD_2716"
"DMXL2","DMXL2","TAD_1123"
"DNAAF1","DNAAF1","TAD_1325"
"DNAH1","DNAH1","TAD_2281"
"DNAH10","DNAH10","TAD_855"
"DNAH11","DNAH11","TAD_3009"
"DNAH12","DNAH12","TAD_2289"
"DNAH14","DNAH14","TAD_311"
"DNAH17","DNAH17","TAD_1487"
"DNAH3","DNAH3","TAD_1240"
"DNAH5","DNAH5","TAD_2611"
"DNAH6","DNAH6","TAD_1796"
"DNAH7","DNAH7","TAD_1937"
